szemaz	nev
810	Melocco Miklós
811	Mensáros László
817	Méray Tibor
818	Mérei Ferenc
812	Mesterházi Lajos
819	Mészáros Ági
820	Mészáros Imre
821	Mészáros István
822	Mészáros István
823	Mészáros József
824	Mészáros Márta
825	Mészáros Pál
826	Mészöly Dezső
827	Mészöly Gyula
828	Mészöly Miklós
813	Mezey Barna
814	Mező László
829	Mihailich Győző
830	Mihály András
831	Mika József
832	Mike István
833	Mikó András
834	Mikus Sándor
835	Miller Lajos
836	Millner Tivadar
837	Miskolczy László
838	Mislóczky Mátyás
839	Mócsy János
840	Mohácsy Mátyás
841	Mokk László
842	Moldova György
843	Molnár András
844	Molnár Antal
845	Molnár Béla
846	Molnár Béla
847	Molnár Erik történész
848	Molnár György
849	Molnár István
850	Molnár Piroska
851	Molnár Sándor
852	Molnár Tibor
853	Mondl Ferenc
854	Moór Marianna
855	Moravcsik Gyula
856	Mosonyi Emil
857	Muszka Imre
858	Muttnyánszky Ádám
859	Muzsikás Együttes
860	Müller Sándor
873	Nádas Péter
874	Nádasdi Ferenc
875	Nádásdy Kálmán
876	Nádler István
861	Nagy Dénes
862	Nagy Endre
863	Nagy Ferenc
864	Nagy Gábor
865	Nagy Gáspár
866	Nagy József
867	Nagy József
868	Nagy Lajos
869	Nagy László
870	Nagy Sándor
871	Nagy Zoltán
872	Nagyajtai Teréz
877	Náray Zsolt
878	Nemes Dezső
879	Nemes Nagy Ágnes
880	Nemeskéri István
883	Németh Géza
884	Németh Gyula
885	Németh László
886	Németh Sándor
881	Nepp József
882	Neugebauer Tibor
887	Ninausz István
888	Novák Ferenc
889	Novobátzky Károly
890	Obermayer Ernő
891	Oberrecht Béla
892	Okányi Földmívesszövetkezet
893	Oláh Gusztáv
894	Oláh János
895	Olcsai-Kiss Zoltán
896	Olsavszky Éva
897	Olty Magda
898	Onczay Csaba
899	Oravecz Imre
900	Orbán Ottó
901	Ormai Árpádné
902	Ormándi István
903	Ormos Imre
904	Orosz Adél
905	Orosz Júlia
906	Oroszi János
907	Osváth Júlia
908	Oswald Lóránt
909	Oszlaczky Szilárd
910	Ott Józsefné
911	Ottlik Géza
912	Örkény István
913	Őrösi Pál Zoltán
914	Öveges József
915	Őze Lajos
916	Pach Zsigmond Pál
933	Páger Antal
917	Pais Dezső
1394	Paizs László
934	Pál József
935	Pál Lénárd
936	Pálkúti Keresztély
918	Pallagi János
919	Pallagi Nándor
920	Palló Imre
937	Pálók Ferenc
921	Palotás László
927	Pán József
938	Pánczél Sándor
939	Pándi Pál
922	Panyi Ferencné
923	Pap Gábor
924	Papp Tibor
925	Pappert Ádám
1396	Párkai István
926	Parragi György
940	Pártay Lilla
1395	Parti Nagy Lajos
941	Páskándi Géza
942	Pásztory Zoltán
928	Pataky Imre
929	Patsch Ferenc
930	Pattantyús-Ábrahám Géza
943	Pátzay Pál
931	Pauer Gyula
932	Paxián János
944	Pázsiti Ödön
1398	Pécsi Ildikó
953	Pécsi Sándor
954	Pécsy Sándor
945	Pege Aladár
946	Peja Győző
947	Perédi Károly
948	Perényi Miklós
949	Pesovár Ernő
950	Petényi Géza
955	Péter Gyula
956	Péter Rózsa
957	Péteri József
951	Petri György
952	Petrovics Emil
958	Pigler Andor
959	Pilinszky János
960	Pillich Lajos
961	Pintér János Ede
962	Pióker Ignác
963	Pless László
1420	Pogány Judit
964	Polgár László
965	Polgár Rózsa
966	Polinszky Károly
967	Pongor Ildikó
968	Popova Aleszja
973	Pór Bertalan
969	Porpáczy Aladár
970	Porubszky Lajos
974	Pósa Jenő
971	Potzner Frigyes
972	Pozsonyi Zoltán
975	Presser Gábor
976	Progl József
977	Proszt János
978	Psota Irén
979	Pusztai Ferenc
980	Rab István
1421	Rába György
997	Rábai Miklós
981	Rabó Gyula
998	Rácz Aladár
999	Rácz Zoltán
1000	Ráday Mihály
982	Radnai György
983	Radó Sándor
984	Radványi Balázs
985	Radványi Géza
986	Ragályi Elemér
987	Rajeczky Benjámin
988	Rajkai Pál
989	Rajnák Mihály
990	Rajz János
1001	Rákos Sándor
991	Raksányi Gellért
1002	Ránki Dezső
1003	Ránki György
1004	Ránki György
992	Ranódy László
993	Raszler Károly
1005	Rátkai Márton
994	Ratkovszky Ferenc
1006	Rátz Sándor
995	Rauss Károly
996	Ravasz János
1013	Rédei László
1007	Regőczi Emil
1008	Regősi Ádám
1009	Reich Károly
1010	Reimholz Péter
1011	Reisenbüchler Sándor
1012	Renner János
1014	Rényi Alfréd
1015	Révai József
1016	Rhorer Emil
1017	Ribánszki Sándor
1018	Ribánszky Miklós
1019	Rideg Sándor
1020	Riesz Frigyes
1021	Rigler János
1022	Rimanóczy Gyula
1023	Rolla János
1024	Romwalter Alfréd
1026	Róna Viktor
1025	Rost Andrea
1027	Róth Gyula
1028	Rózsi Ferencné
1029	Rőder Béla
1030	Rősler Endre
1031	Rubányi Pál
1032	Rubik Ernő
